SALES_CHANNEL,TOTAL_PRICE,FINAL_RESULT,HOUR_OF_DAY,ACTIVE_WATCH_DURATION_MINS,ORDER_HOLD_DURATION_MINS,ACCOUNT_OPEN_TO_ORDER_MINS,CASECLOSE_TO_ORDERCLOSE_MINS,CASEOPEN_TO_CASECLOSE_MINS,Risk Label
ONLINE,130.57,GREEN,21,17.48,19.5,339372.27,4591.62403938334,4040.2939254951734,Good
TELESALES,807.88,GREEN,18,15.65,16.72,29.9,4591.62403938334,4040.2939254951734,Good
ONLINE,802.26,GREEN,20,19.511607066635072,41.78,15692.48,4591.62403938334,4040.2939254951734,Good
TELESALES,517.92,GREEN,15,19.511607066635072,11.72,3.2,4591.62403938334,4040.2939254951734,Good
ONLINE,1957.47,RED,0,19.511607066635072,36.8472312529113,293.0,4591.62403938334,4040.2939254951734,Good
ONLINE,528.72,GREEN,11,19.511607066635072,11.58,98774.62,4591.62403938334,4040.2939254951734,Good
ONLINE,1775.99,YELLOW,1,19.511607066635072,14.37,6.02,4339.08,4902.13,Fraud
TELESALES,0.0,GREEN,0,20.63,25.57,18672.98,4591.62403938334,4040.2939254951734,Good
ONLINE,966.13,GREEN,16,19.511607066635072,16.28,271.97,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,23,19.511607066635072,36.8472312529113,8966.05,334.95,2341.17,Good
ONLINE,650.76,GREEN,2,19.73,21.92,75388.05,4591.62403938334,4040.2939254951734,Good
TELESALES,789.51,GREEN,22,25.3,28.17,358842.47,4591.62403938334,4040.2939254951734,Good
ONLINE,855.92,GREEN,19,19.511607066635072,10.07,115212.8,4591.62403938334,4040.2939254951734,Good
TELESALES,548.67,GREEN,16,19.511607066635072,17.28,334988.1,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,19,19.511607066635072,36.8472312529113,21365.33,4591.62403938334,4040.2939254951734,Good
TELESALES,802.26,GREEN,16,19.511607066635072,5.78,4.8,4591.62403938334,4040.2939254951734,Good
ONLINE,1059.84,GREEN,19,19.511607066635072,11.62,328058.92,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,14,19.511607066635072,36.8472312529113,44575.02,4591.62403938334,4040.2939254951734,Good
TELESALES,630.54,GREEN,23,17.3,19.02,60607.83,4591.62403938334,4040.2939254951734,Good
TELESALES,761.57,GREEN,14,19.511607066635072,18.23,956.78,4591.62403938334,4040.2939254951734,Good
RETAIL,2102.28,GREEN,18,21.93,23.97,3.58,4591.62403938334,4040.2939254951734,Good
TELESALES,129.66,GREEN,20,19.511607066635072,13.82,1.68,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,14,19.511607066635072,36.8472312529113,9.83,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,17,22.2,24.35,79178.0,4591.62403938334,4040.2939254951734,Good
TELESALES,947.46,GREEN,15,19.63,21.43,58332.73,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,22,17.52,34.37,0.85,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,15,19.511607066635072,14.4,596792.13,4591.62403938334,4040.2939254951734,Good
ONLINE,794.76,GREEN,20,19.511607066635072,12.47,107819.43,4591.62403938334,4040.2939254951734,Good
TELESALES,1077.34,GREEN,22,18.12,19.67,20.57,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,17,23.53,439.68,6883.75,4591.62403938334,4040.2939254951734,Good
TELESALES,643.26,RED,20,23.95,143.65,46.58,1443.2,1464.27,Fraud
ONLINE,799.68,GREEN,2,19.511607066635072,8.93,897430.77,4591.62403938334,4040.2939254951734,Good
ONLINE,637.26,GREEN,16,19.511607066635072,18.78,1467.12,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,19,19.511607066635072,18.15,20.83,4591.62403938334,4040.2939254951734,Good
TELESALES,789.51,GREEN,19,19.511607066635072,13.85,67983.63,4591.62403938334,4040.2939254951734,Good
ONLINE,641.76,GREEN,15,19.511607066635072,12.43,179777.68,4591.62403938334,4040.2939254951734,Good
TELESALES,239.99,GREEN,20,14.68,15.37,7185.72,4591.62403938334,4040.2939254951734,Good
RETAIL,1706.23,GREEN,0,19.511607066635072,12.73,8827.32,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,15,19.511607066635072,36.8472312529113,11587.8,4591.62403938334,4040.2939254951734,Good
ONLINE,1187.92,GREEN,2,19.511607066635072,14.7,420.48,4591.62403938334,4040.2939254951734,Good
TELESALES,192.36,GREEN,16,19.511607066635072,18.7,2.22,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,0,19.511607066635072,36.8472312529113,6.75,4591.62403938334,4040.2939254951734,Good
TELESALES,131.76,GREEN,14,19.511607066635072,12.27,69.28,4591.62403938334,4040.2939254951734,Good
TELESALES,508.32,GREEN,13,19.511607066635072,13.88,13.02,4591.62403938334,4040.2939254951734,Good
TELESALES,1082.94,GREEN,20,23.8,28.0,8.17,4591.62403938334,4040.2939254951734,Good
RETAIL,630.54,GREEN,19,19.511607066635072,13.18,50677.63,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,RED,18,19.511607066635072,36.8472312529113,15.62,4591.62403938334,4040.2939254951734,Good
TELESALES,1069.84,GREEN,19,19.511607066635072,12.97,5.52,4591.62403938334,4040.2939254951734,Good
RETAIL,1599.84,GREEN,20,19.511607066635072,18.52,59530.18,4591.62403938334,4040.2939254951734,Good
ONLINE,871.92,GREEN,20,22.75,24.62,1.45,4591.62403938334,4040.2939254951734,Good
RETAIL,239.76,GREEN,20,14.9,15.25,72225.5,4591.62403938334,4040.2939254951734,Good
TELESALES,127.26,GREEN,20,19.72,26.77,10.22,4591.62403938334,4040.2939254951734,Good
RETAIL,764.94,GREEN,0,22.92,24.82,3.15,4591.62403938334,4040.2939254951734,Good
RETAIL,809.76,GREEN,19,19.511607066635072,12.97,1101.67,4591.62403938334,4040.2939254951734,Good
ONLINE,130.32,GREEN,18,19.511607066635072,13.27,606146.17,4591.62403938334,4040.2939254951734,Good
RETAIL,641.76,GREEN,21,19.511607066635072,8.58,15.0,4591.62403938334,4040.2939254951734,Good
TELESALES,129.2,GREEN,21,19.511607066635072,9.43,1427.17,4591.62403938334,4040.2939254951734,Good
ONLINE,653.76,GREEN,6,26.93,32.33,248263.17,4591.62403938334,4040.2939254951734,Good
ONLINE,0.0,GREEN,0,22.38,22.82,1.5,4591.62403938334,4040.2939254951734,Good
TELESALES,0.0,GREEN,13,19.511607066635072,14.93,7161.53,4591.62403938334,4040.2939254951734,Good
ONLINE,875.72,GREEN,13,19.511607066635072,18.3,5633.78,4591.62403938334,4040.2939254951734,Good
